year,month number,month,temperature
1957,2,february,11.0
1957,3,march,12.2
1957,4,april,12.4
1957,5,may,14.1
1957,6,june,18.5
1957,7,july,22.0
1957,8,august,21.9
1957,9,september,20.2
1957,10,october,15.1
1957,11,november,10.8
1957,12,december,7.8
1958,1,january,7.3
1958,2,february,10.5
1958,3,march,10.3
1958,4,april,11.1
1958,5,may,17.3
1958,6,june,19.4
1958,7,july,22.0
1958,8,august,22.8
1958,9,september,21.7
1958,10,october,15.9
1958,11,november,11.6
1958,12,december,9.6
1959,1,january,8.2
1959,2,february,9.5
1959,3,march,11.4
1959,4,april,13.4
1959,5,may,15.9
1959,6,june,19.8
1959,7,july,24.0
1959,8,august,22.5
1959,9,september,19.3
1959,10,october,14.9
1959,11,november,10.5
1959,12,december,8.9
1960,1,january,8.1
1960,2,february,9.6
1960,3,march,11.2
1960,4,april,12.9
1960,5,may,18.1
1960,6,june,20.8
1960,7,july,21.2
1960,8,august,22.0
1960,9,september,18.4
1960,10,october,14.1
1960,11,november,11.6
1960,12,december,6.6
1961,1,january,7.2
1961,2,february,11.0
1961,3,march,12.1
1961,4,april,14.8
1961,5,may,16.8
1961,6,june,20.8
1961,7,july,22.8
1961,8,august,22.3
1961,9,september,21.3
1961,10,october,15.9
1961,11,november,11.3
1961,12,december,10.4
1962,1,january,9.5
1962,2,february,8.0
1962,3,march,9.2
1962,4,april,12.2
1962,5,may,15.0
1962,6,june,19.6
1962,7,july,22.4
1962,8,august,23.8
1962,9,september,21.0
1962,10,october,16.7
1962,11,november,9.1
1962,12,december,6.8
1963,1,january,6.1
1963,2,february,5.4
1963,3,march,10.8
1963,4,april,12.7
1963,5,may,16.1
1963,6,june,19.5
1963,7,july,23.7
1963,8,august,21.1
1963,9,september,18.5
1963,10,october,16.3
1963,11,november,13.0
1963,12,december,7.2
1964,1,january,7.4
1964,2,february,9.2
1964,3,march,10.4
1964,4,april,12.6
1964,5,may,18.4
1964,6,june,21.1
1964,7,july,24.5
1964,8,august,22.7
1964,9,september,21.2
1964,10,october,14.5
1964,11,november,12.3
1964,12,december,8.0
1965,1,january,7.6
1965,2,february,5.8
1965,3,march,10.7
1965,4,april,12.4
1965,5,may,17.2
1965,6,june,21.2
1965,7,july,22.5
1965,8,august,22.2
1965,9,september,17.9
1965,10,october,16.4
1965,11,november,11.1
1965,12,december,9.3
1966,1,january,8.8
1966,2,february,11.3
1966,3,march,10.7
1966,4,april,13.9
1966,5,may,16.2
1966,6,june,20.5
1966,7,july,20.9
1966,8,august,21.7
1966,9,september,21.3
1966,10,october,15.9
1966,11,november,9.1
1966,12,december,8.9
1967,1,january,8.0
1967,2,february,9.3
1967,3,march,11.9
1967,4,april,12.5
1967,5,may,15.8
1967,6,june,18.8
1967,7,july,24.7
1967,8,august,23.1
1967,9,september,20.0
1967,10,october,17.7
1967,11,november,12.5
1967,12,december,7.4
1968,1,january,8.7
1968,2,february,9.0
1968,3,march,9.9
1968,4,april,12.9
1968,5,may,15.8
1968,6,june,19.1
1968,7,july,22.1
1968,8,august,21.2
1968,9,september,19.9
1968,10,october,18.7
1968,11,november,12.1
1968,12,december,9.0
1969,1,january,8.5
1969,2,february,6.9
1969,3,march,10.2
1969,4,april,12.0
1969,5,may,16.4
1969,6,june,17.7
1969,7,july,23.2
1969,8,august,22.4
1969,9,september,18.6
1969,10,october,16.3
1969,11,november,10.8
1969,12,december,6.9
1970,1,january,9.5
1970,2,february,8.5
1970,3,march,8.5
1970,4,april,12.0
1970,5,may,15.8
1970,6,june,21.1
1970,7,july,22.7
1970,8,august,22.5
1970,9,september,22.0
1970,10,october,15.9
1970,11,november,13.4
1970,12,december,6.5
1971,1,january,7.8
1971,2,february,9.2
1971,3,march,7.5
1971,4,april,13.2
1971,5,may,15.0
1971,6,june,18.5
1971,7,july,23.4
1971,8,august,23.9
1971,9,september,20.0
1971,10,october,16.8
1971,11,november,8.7
1971,12,december,9.1
1972,1,january,7.2
1972,2,february,9.0
1972,3,march,10.9
1972,4,april,11.7
1972,5,may,14.4
1972,6,june,17.6
1972,7,july,21.9
1972,8,august,20.2
1972,9,september,16.5
1972,10,october,14.7
1972,11,november,12.3
1972,12,december,8.9
1973,1,january,8.2
1973,2,february,7.9
1973,3,march,9.3
1973,4,april,11.3
1973,5,may,16.9
1973,6,june,20.3
1973,7,july,23.4
1973,8,august,23.9
1973,9,september,20.3
1973,10,october,15.3
1973,11,november,11.6
1973,12,december,7.7
1974,1,january,9.9
1974,2,february,8.5
1974,3,march,10.1
1974,4,april,11.1
1974,5,may,15.9
1974,6,june,19.4
1974,7,july,22.9
1974,8,august,22.8
1974,9,september,18.8
1974,10,october,11.7
1974,11,november,11.2
1974,12,december,9.6
1975,1,january,9.9
1975,2,february,9.4
1975,3,march,8.6
1975,4,april,12.3
1975,5,may,14.8
1975,6,june,18.8
1975,7,july,23.3
1975,8,august,23.7
1975,9,september,19.3
1975,10,october,15.4
1975,11,november,11.0
1975,12,december,7.8
1976,1,january,8.2
1976,2,february,8.8
1976,3,march,10.9
1976,4,april,11.7
1976,5,may,16.5
1976,6,june,22.9
1976,7,july,22.9
1976,8,august,21.5
1976,9,september,18.4
1976,10,october,14.4
1976,11,november,9.6
1976,12,december,9.3
1977,1,january,8.1
1977,2,february,11.1
1977,3,march,11.8
1977,4,april,12.5
1977,5,may,13.9
1977,6,june,18.0
1977,7,july,20.4
1977,8,august,20.7
1977,9,september,19.8
1977,10,october,17.1
1977,11,november,11.7
1977,12,december,9.6
1978,1,january,6.6
1978,2,february,9.7
1978,3,march,11.3
1978,4,april,10.8
1978,5,may,15.2
1978,6,june,18.5
1978,7,july,21.5
1978,8,august,22.7
1978,9,september,21.4
1978,10,october,15.3
1978,11,november,11.4
1978,12,december,10.1
1979,1,january,8.0
1979,2,february,9.5
1979,3,march,10.8
1979,4,april,11.7
1979,5,may,16.0
1979,6,june,20.8
1979,7,july,24.0
1979,8,august,22.4
1979,9,september,19.7
1979,10,october,16.0
1979,11,november,10.8
1979,12,december,9.1
1980,1,january,7.3
1980,2,february,10.1
1980,3,march,10.7
1980,4,april,11.3
1980,5,may,14.5
1980,6,june,17.7
1980,7,july,20.5
1980,8,august,23.2
1980,9,september,21.1
1980,10,october,15.9
1980,11,november,10.4
1980,12,december,6.9
1981,1,january,7.2
1981,2,february,7.2
1981,3,march,13.0
1981,4,april,12.7
1981,5,may,15.2
1981,6,june,20.9
1981,7,july,21.2
1981,8,august,23.1
1981,9,september,20.6
1981,10,october,16.8
1981,11,november,12.8
1981,12,december,9.8
1982,1,january,10.4
1982,2,february,9.2
1982,3,march,9.7
1982,4,april,12.8
1982,5,may,15.6
1982,6,june,20.6
1982,7,july,24.5
1982,8,august,20.9
1982,9,september,20.3
1982,10,october,16.0
1982,11,november,12.0
1982,12,december,9.1
1983,1,january,9.1
1983,2,february,6.4
1983,3,march,10.8
1983,4,april,13.4
1983,5,may,16.1
1983,6,june,20.8
1983,7,july,25.8
1983,8,august,22.2
1983,9,september,21.5
1983,10,october,17.4
1983,11,november,12.8
1983,12,december,9.8
1984,1,january,8.3
1984,2,february,7.6
1984,3,march,9.0
1984,4,april,12.7
1984,5,may,13.5
1984,6,june,19.4
1984,7,july,23.9
1984,8,august,22.3
1984,9,september,19.2
1984,10,october,15.8
1984,11,november,13.0
1984,12,december,8.7
1985,1,january,4.3
1985,2,february,10.7
1985,3,march,9.5
1985,4,april,14.0
1985,5,may,14.7
1985,6,june,19.3
1985,7,july,24.8
1985,8,august,22.6
1985,9,september,22.8
1985,10,october,17.6
1985,11,november,9.7
1985,12,december,9.6
1986,1,january,7.4
1986,2,february,7.3
1986,3,march,10.8
1986,4,april,10.8
1986,5,may,18.4
1986,6,june,20.4
1986,7,july,23.7
1986,8,august,23.7
1986,9,september,21.4
1986,10,october,17.4
1986,11,november,12.8
1986,12,december,9.0
1987,1,january,6.9
1987,2,february,8.0
1987,3,march,9.8
